Ave	Max	MaxTime	Psd	Ring	Rms	Width	Rp	Rm	A
46.98079 	0.69892 	125	604688.01449 	2891	69.60448 	4800	182.00 	304.00 	46.10 
45.92900 	0.70294 	150	594972.35891 	2819	68.45814 	4625	182.00 	304.00 	46.10 
46.92756 	0.68371 	100	605730.43486 	2928	69.83592 	4750	182.00 	304.00 	46.10 
46.90201 	0.69737 	375	598031.65208 	2845	69.65207 	4875	182.00 	304.00 	46.10 
48.88127 	0.73500 	400	628075.71184 	2815	72.63262 	4525	182.00 	304.00 	46.10 
47.64444 	0.74990 	175	615122.28149 	2770	70.62607 	4450	182.00 	304.00 	46.10 
47.70366 	0.69571 	275	613940.42048 	2937	70.56461 	4575	182.00 	304.00 	46.10 
47.35377 	0.71387 	250	604675.77812 	2923	70.03211 	4475	182.00 	304.00 	46.10 
47.76217 	0.71461 	150	607143.95485 	2808	70.64515 	4750	182.00 	304.00 	46.10 
47.67980 	0.72272 	400	613874.86969 	2896	70.84661 	4575	182.00 	304.00 	46.10 
44.64527 	0.66911 	200	580816.26069 	2799	66.37322 	4700	182.00 	304.00 	46.10 
44.78026 	0.69092 	350	577851.88146 	2837	66.64094 	4175	182.00 	304.00 	46.10 
45.72260 	0.69989 	325	586766.44690 	2784	67.88961 	4475	182.00 	304.00 	46.10 
45.05566 	0.68142 	125	583301.42941 	2795	67.07586 	4550	182.00 	304.00 	46.10 
44.95927 	0.68476 	150	570920.66230 	2839	66.51261 	4150	182.00 	304.00 	46.10 
45.03418 	0.65735 	275	575133.08984 	2894	66.57707 	4825	182.00 	304.00 	46.10 
46.05336 	0.70096 	350	596987.89107 	2839	68.62062 	4525	182.00 	304.00 	46.10 
46.59863 	0.70678 	225	601898.09452 	2850	69.21718 	4750	182.00 	304.00 	46.10 
46.22990 	0.68121 	150	592103.24507 	2872	68.46045 	4775	182.00 	304.00 	46.10 
45.72342 	0.69523 	475	584893.26096 	2824	67.83475 	4475	182.00 	304.00 	46.10 
